0   0   0   0   0   0   0   0   
0.348993	0.644295	1.405405	0.432432	1.333333	-2.666667	4	0
0.334597	1.202407	0.901043	1.202446	-1.973333	-0.853333	4	0
0.195404	0.755296	0.994036	1.015878	-0.598915	-2.323765	4	0
0.097839	1.121559	0.999986	1.000102	-0.982758	-3.13599	4	0
0.023639	0.975116	1	1	-0.997011	-3.001025	4	0
-0.000215	1.001485	1	1	-1.000001	-2.999998	4	0
0.0000002	1.000001	1	1	-1	-3	4	0
0	1	1	1	-1	-3	4	0
0	1	1	1	-1	-3	4	0
0	1	1	1	-1	-3	4	0
0	1	1	1	-1	-3	4	0
0	1	1	1	-1	-3	4	0
0	1	1	1	-1	-3	4	0
0	1	1	1	-1	-3	4	0
0	1	1	1	-1	-3	4	0
0	1	1	1	-1	-3	4	0
0	1	1	1	-1	-3	4	0
0	1	1	1	-1	-3	4	0
0	1	1	1	-1	-3	4	0
0	1	1	1	-1	-3	4	0

