1 3.58916  
2 3.59582  
3 3.59586  
4 3.59586  
5 3.59586  
6 3.59586  
7 3.59586  
8 3.59586  
9 3.59586  
10 3.59586  
11 3.59586  
12 3.59586  
13 3.59586  
14 3.59586  
15 3.59586  
16 3.59586  
17 3.59586  
18 3.59586  
19 3.59586  
20 3.59586  
21 3.59586  
22 3.59586  
23 3.59586  
24 3.59586  
25 3.59586  
26 3.59586  
27 3.59586  
28 3.59586  
29 3.59586  
30 3.59586  
1 0.000548461  
2 0.282512  
3 0.284531  
4 0.284903  
5 0.284972  
6 0.284985  
7 0.284987  
8 0.284988  
9 0.284988  
10 0.284988  
11 0.284988  
12 0.284988  
13 0.284988  
14 0.284988  
15 0.284988  
16 0.284988  
17 0.284988  
18 0.284988  
19 0.284988  
20 0.284988  
21 0.284988  
22 0.284988  
23 0.284988  
24 0.284988  
25 0.284988  
26 0.284988  
27 0.284988  
28 0.284988  
29 0.284988  
30 0.284988  
1 1.9152e-05  
2 0.121709  
3 0.122243  
4 0.122526  
5 0.122928  
6 0.129076  
7 0.235832  
8 0.534567  
9 0.587665  
10 0.590272  
11 0.590385  
12 0.59039  
13 0.59039  
14 0.59039  
15 0.59039  
16 0.59039  
17 0.59039  
18 0.59039  
19 0.59039  
20 0.59039  
21 0.59039  
22 0.59039  
23 0.59039  
24 0.59039  
25 0.59039  
26 0.59039  
27 0.59039  
28 0.59039  
29 0.59039  
30 0.59039  
1 1.9152e-05  
2 0.121709  
3 0.122242  
4 0.122514  
5 0.12265  
6 0.122719  
7 0.122753  
8 0.12277  
9 0.122778  
10 0.122782  
11 0.122784  
12 0.122785  
13 0.122786  
14 0.122786  
15 0.122786  
16 0.122786  
17 0.122786  
18 0.122786  
19 0.122787  
20 0.122787  
21 0.122787  
22 0.122787  
23 0.122787  
24 0.122787  
25 0.122787  
26 0.122787  
27 0.122787  
28 0.122787  
29 0.122787  
30 0.122787  
1 7.98622e-07  
2 0.0865947  
3 0.0865947  
4 0.0865947  
5 0.0865947  
6 0.0865947  
7 0.0865947  
8 0.0865947  
9 0.0865947  
10 0.0865947  
11 0.0865947  
12 0.0865947  
13 0.0865947  
14 0.0865947  
15 0.0865947  
16 0.0865947  
17 0.0865947  
18 0.0865947  
19 0.0865947  
20 0.0865947  
21 0.0865949  
22 0.0865953  
23 0.0865969  
24 0.0866032  
25 0.0866279  
26 0.086724  
27 0.0870964  
28 0.0885173  
29 0.0936252  
30 0.108671  
1 3.77751e-07  
2 0.135008  
3 0.137662  
4 0.13768  
5 0.13768  
6 0.13768  
7 0.13768  
8 0.13768  
9 0.13768  
10 0.13768  
11 0.13768  
12 0.13768  
13 0.13768  
14 0.13768  
15 0.13768  
16 0.13768  
17 0.13768  
18 0.13768  
19 0.13768  
20 0.13768  
21 0.13768  
22 0.13768  
23 0.13768  
24 0.13768  
25 0.13768  
26 0.13768  
27 0.13768  
28 0.13768  
29 0.13768  
30 0.13768  
1 7.91262e-08  
2 0.0112179  
3 0.0112179  
4 0.0112179  
5 0.0112179  
6 0.0112179  
7 0.0112179  
8 0.0112179  
9 0.0112179  
10 0.0112188  
11 0.0112835  
12 0.0159683  
13 0.0821296  
14 0.0978986  
15 0.0981511  
16 0.0981544  
17 0.0981544  
18 0.0981544  
19 0.0981544  
20 0.0981544  
21 0.0981544  
22 0.0981544  
23 0.0981544  
24 0.0981544  
25 0.0981544  
26 0.0981544  
27 0.0981544  
28 0.0981544  
29 0.0981544  
30 0.0981544  
