 15.500000 -0.969749 -0.978453 
 15.600000 -0.989787 -0.994178 
 15.700000 -0.999928 -0.999968 
 15.800000 -1.000070 -0.995768 
 15.900000 -0.990211 -0.981618 
 16.000000 -0.970449 -0.957659 
 16.100000 -0.940984 -0.924133 
 16.200000 -0.902108 -0.881372 
 16.300000 -0.854212 -0.829806 
 16.400000 -0.797773 -0.769948 
 16.500000 -0.733356 -0.702397 
 16.600000 -0.661606 -0.627828 
 16.700000 -0.583240 -0.546986 
 16.800000 -0.499042 -0.460679 
 16.900000 -0.409853 -0.369768 
 17.000000 -0.316565 -0.275163 
 17.100000 -0.220112 -0.177809 
 17.200000 -0.121458 -0.078678 
 17.300000 -0.021589 0.021239 
 17.400000 0.078495 0.120944 
 17.500000 0.177795 0.219440 
 17.600000 0.275317 0.315744 
 17.700000 0.370086 0.408893 
 17.800000 0.461153 0.497956 
 17.900000 0.547610 0.582044 
 18.000000 0.628590 0.660317 
 18.100000 0.703284 0.731991 
 18.200000 0.770945 0.796352 
 18.300000 0.830897 0.852757 
 18.400000 0.882540 0.900640 
 18.500000 0.925358 0.939525 
 18.600000 0.958922 0.969022 
 18.700000 0.982897 0.988837 
