0  0.001559  0.003118  0.004676  -0.006232  0.007788  0.009341 
1  0.003118  0.006232  0.009341  -0.012440  0.015527  0.018600 
2  0.004676  0.009341  0.013986  -0.018600  0.023173  0.027695 
3  0.006232  0.012440  0.018600  -0.024686  0.030676  0.036547 
4  0.007788  0.015527  0.023173  -0.030676  0.037993  0.045077 
5  0.009341  0.018600  0.027695  -0.036547  0.045077  0.053212 
6  0.010892  0.021653  0.032156  -0.042274  0.051887  0.060879 
7  0.012440  0.024686  0.036547  -0.047837  0.058380  0.068011 
8  0.013986  0.027695  0.040857  -0.053212  0.064516  0.074545 
9  0.015527  0.030676  0.045077  -0.058380  0.070258  0.080424 
10  0.017066  0.033628  0.049199  -0.063319  0.075572  0.085597 
11  0.018600  0.036547  0.053212  -0.068011  0.080424  0.090017 
12  0.020129  0.039430  0.057108  -0.072437  0.084786  0.093646 
13  0.021653  0.042274  0.060879  -0.076580  0.088630  0.096452 
14  0.023173  0.045077  0.064516  -0.080424  0.091933  0.098411 
15  0.024686  0.047837  0.068011  -0.083954  0.094674  0.099504 
16  0.026194  0.050549  0.071357  -0.087156  0.096838  0.099724 
17  0.027695  0.053212  0.074545  -0.090017  0.098411  0.099066 
18  0.029189  0.055823  0.077570  -0.092526  0.099383  0.097539 
19  0.030676  0.058380  0.080424  -0.094674  0.099748  0.095154 
20  0.032156  0.060879  0.083102  -0.096452  0.099504  0.091933 
21  0.033628  0.063319  0.085597  -0.097853  0.098653  0.087903 
22  0.035092  0.065697  0.087903  -0.098872  0.097200  0.083102 
23  0.036547  0.068011  0.090017  -0.099504  0.095154  0.077570 
24  0.037993  0.070258  0.091933  -0.099748  0.092526  0.071357 
25  0.039430  0.072437  0.093646  -0.099602  0.089334  0.064516 
26  0.040857  0.074545  0.095154  -0.099066  0.085597  0.057108 
27  0.042274  0.076580  0.096452  -0.098144  0.081337  0.049199 
28  0.043681  0.078541  0.097539  -0.096838  0.076580  0.040857 
29  0.045077  0.080424  0.098411  -0.095154  0.071357  0.032156 
30  0.046463  0.082229  0.099066  -0.093098  0.065697  0.023173 
31  0.047837  0.083954  0.099504  -0.090678  0.059637  0.013986 
32  0.049199  0.085597  0.099724  -0.087903  0.053212  0.004676 
33  0.050549  0.087156  0.099724  -0.084786  0.046463  -0.004676 
